Labs waren opmerkelijk voor Cr 1,7 (basislijn 0,5 volgens oude gegevens) en lactaat 2,4. 	 De patiënt heeft een verhoogde Cr 	 entailment 
De patiënt werd aanvankelijk behandeld met Plavix en Lipitor. 	 De patiënt heeft een beroerte gehad 	 neutral 
Hij zegt dat hij vaak pijn op de borst heeft bij minimale inspanning of blootstelling aan koude. 	 Patiënt heeft angina 	 entailment 
Hij zegt dat hij vaak pijn op de borst heeft bij minimale inspanning of blootstelling aan koude. 	 De patiënt heeft geen symptomen 	 contradiction 
Hij zegt dat hij vaak pijn op de borst heeft bij minimale inspanning of blootstelling aan koude. 	 De patiënt heeft CAD 	 neutral 
Moeder, is een 26 jarige, gravida I, para 0 vrouw met de volgende prenatale screeningen: Bloedgroep A positief, antilichamen negatief, hepatitis B oppervlakte antigeen negatief, RPR nonreactief, Rubella immuun, GBS positief. 	 de moeder positief is voor groep B strep 	 entailment 
Moeder, is een 26 jarige, gravida I, para 0 vrouw met de volgende prenatale screeningen: Bloedgroep A positief, antilichamen negatief, hepatitis B oppervlakte antigeen negatief, RPR nonreactief, Rubella immuun, GBS positief. 	 de moeder negatief is voor groep B strep 	 contradiction 
Moeder, is een 26 jarige, gravida I, para 0 vrouw met de volgende prenatale screeningen: Bloedgroep A positief, antilichamen negatief, hepatitis B oppervlakte antigeen negatief, RPR nonreactief, Rubella immuun, GBS positief. 	 de moeder kreeg antibiotica tijdens de bevalling 	 neutral 
De patiënt werd overgebracht naar [**Ziekenhuis1 22**] voor verdere behandeling. . 	 De patiënten setting van de zorg werd veranderd. 	 entailment 
De patiënt werd overgebracht naar [**Ziekenhuis1 22**] voor verdere behandeling. . 	 De patiënt werd in hetzelfde ziekenhuis gehouden. 	 contradiction 
De patiënt werd overgebracht naar [**Ziekenhuis1 22**] voor verdere behandeling. . 	 De patiënt had een hoger niveau van zorg nodig. 	 neutral 
Er werd een CT-scan van haar abdomen en bekken gemaakt, die een milde hydronefrose links, alsmede een milde hydroureter nefrose links met een 2 mm ureterovesicale junction steen onthulde. 	 De patiënt heeft een ureterale calculus 	 entailment 
Er werd een CT-scan van haar abdomen en bekken gemaakt, die een milde hydronefrose links, alsmede een milde hydroureter nefrose links met een 2 mm ureterovesicale junction steen onthulde. 	 de patiënt heeft geen stenen 	 contradiction 
Er werd een CT-scan van haar abdomen en bekken gemaakt, die een milde hydronefrose links, alsmede een milde hydroureter nefrose links met een 2 mm ureterovesicale junctie steen onthulde. 	 de patiënt heeft pijn in de linker flank 	 neutral 
Op dat moment werd haar dopaminedosis verlaagd en werd zij gestart met Levophed met aversie tegen normaal sinusritme. 	 Ze kreeg Norepinephrine 	 entailment 
Op dat moment werd haar dopaminedosis verlaagd en werd zij gestart met Levophed met aversie tegen normaal sinusritme. 	 Geen geschiedenis van abnormaal hartritme 	 contradiction 
Op dat moment werd haar dopaminedosis verlaagd en werd zij gestart met Levophed met aversie tegen normaal sinusritme. 	 Ze heeft een geschiedenis van hartkwalen 	 neutral 
Toen ze naar de buurtwinkel ging, werd ze acuut SOB en tachycardisch. 	 de patiënt was kortademig 	 entailment 
Toen ze naar de buurtwinkel ging, werd ze acuut SOB en tachycardisch. 	 de patiënt ontkent kortademigheid 	 contradiction 
Toen ze naar de buurtwinkel ging, werd ze acuut SOB en tachycardisch. 	 de patiënt heeft een PE 	 neutral 
IVF's gekregen zonder verbetering. 	 De patiënt kreeg infuusvloeistoffen. 	 entailment 
IVF's gekregen zonder verbetering. 	 De patiënt reageerde op intraveneuze vloeistoffen. 	 contradiction 
IVF's gekregen zonder verbetering. 	 De patiënt is hypotensief. 	 neutral 
De patiënt werd vervolgens doorverwezen naar de dienst cardiothoracale chirurgie voor een coronaire bypassoperatie. 	 De patiënt heeft coronaire hartziekte. 	 entailment 
De patiënt werd vervolgens doorverwezen naar de dienst cardiothoracale chirurgie voor een coronaire bypassoperatie. 	 De patiënt heeft normale kransslagaders. 	 contradiction 
De patiënt werd vervolgens doorverwezen naar de dienst cardiothoracale chirurgie voor een coronaire bypassoperatie. 	 De patiënt heeft pijn op de borst. 	 neutral 
Hart enzymen gedaan op OSH toonden CK 363, CK-MB 33, TropI 6.78. 	 De patiënt heeft hart ischemie. 	 entailment 
Hart enzymen gedaan op OSH toonden CK 363, CK-MB 33, TropI 6.78. 	 De patiënt heeft een normale hartperfusie. 	 contradiction 
Hart enzymen gedaan op OSH toonden CK 363, CK-MB 33, TropI 6.78. 	 De patiënt heeft een acuut coronair syndroom. 	 neutral 
Dit is een 57-jarige man met type 1 DM in de voorgeschiedenis en vele eerdere opnames voor DKA, die zich op [**Ziekenhuis1 52**] meldde op [**10-1**] met een verhoogde BG >600. 	 De patiënt heeft een verhoogde A1c 	 entailment 
Dit is een 57-jarige man met type 1 DM in de voorgeschiedenis en vele eerdere opnames voor DKA, die zich op [**Ziekenhuis1 52**] meldde op [**10-1**] met een verhoogde BG >600. 	 Patiënt heeft negatieve PMH 	 contradiction 
Dit is een 57-jarige man met type 1 DM in de voorgeschiedenis en vele eerdere opnames voor DKA, die zich op [**Ziekenhuis1 52**] meldde op [**10-1**] met een verhoogde BG >600. 	 Patiënt heeft ketoacidose 	 neutral 
5. Voorgeschiedenis van plaveiselcelcarcinoom, basaalcelcarcinoom en melanoom. CABG 	 de patiënt heeft een voorgeschiedenis van huidkanker 	 entailment 
5. Voorgeschiedenis van plaveiselcelcarcinoom, basaalcelcarcinoom en melanoom. CABG 	 de patiënt heeft geen voorgeschiedenis van huidkanker 	 contradiction 
5. Voorgeschiedenis van plaveiselcelcarcinoom, basaalcelcarcinoom en melanoom. CABG 	 de patiënt geen uitgezaaide ziekte heeft 	 neutral 
Dementie van Alzheimer 2. 	 Neurodegeneratieve ziekte 	 entailment 
Dementie van Alzheimer 2. 	 Geen neurocognitieve stoornis 	 contradiction 
Dementie van Alzheimer 2. 	 Geschiedenis van het Down Syndroom 	 neutral 
Rapporteert orthopneu maar geen PND. 	 De patiënt heeft tekenen van hartinsufficiëntie 	 entailment 
Rapporteert orthopneu maar geen PND. 	 De patiënt heeft een normale ademhalingsfunctie 	 contradiction 
Rapporteert orthopneu maar geen PND. 	 Patiënt heeft moeite met plat slapen 	 neutral 
SOB nu terug naar basislijn. 	 Patiënt heeft positieve beoordeling van systemen 	 entailment 
SOB nu terug naar basislijn. 	 Patiënt heeft geen dyspneu 	 contradiction 
SOB nu terug naar basislijn. 	 Patiënt heeft slechte O2 saturatie 	 neutral 
Zij heeft het laatste jaar een sterk verminderde a[** Locatie **]e en meldt een gewichtsverlies van 25 pond gedurende deze tijd. 	 Ze is afgevallen in het afgelopen jaar 	 entailment 
Zij heeft het laatste jaar een sterk verminderde a[** Locatie **]e en meldt een gewichtsverlies van 25 pond gedurende deze tijd. 	 Ze is aangekomen in het laatste jaar 	 contradiction 
Zij heeft het laatste jaar een sterk verminderde a[** Locatie **]e en meldt een gewichtsverlies van 25 pond gedurende deze tijd. 	 Ze heeft een geschiedenis van gastric bypass 	 neutral 
Zij ontkent pijn op de borst, kortademigheid, pleuritische pijn, koorts, koude rillingen, hoest, diaphorese, misselijkheid, braken of hartkloppingen. 	 De patient heeft geen symptomen van een myocard infarct. 	 entailment 
Zij ontkent pijn op de borst, kortademigheid, pleuritische pijn, koorts, koude rillingen, hoest, diaphorese, misselijkheid, braken of hartkloppingen. 	 De patient heeft alle symptomen van een myocard infarct. 	 contradiction 
Zij ontkent pijn op de borst, kortademigheid, pleuritische pijn, koorts, koude rillingen, hoest, diaphorese, misselijkheid, braken of hartkloppingen. 	 De patiënt heeft geen myocard infarct. 	 neutral 
Volgens de rapporten vond de zuster de patiënt op de bank extreem lethargisch. 	 De patiënt is lethargisch. 	 entailment 
Volgens de rapporten vond de zuster de patiënt op de bank extreem lethargisch. 	 De patiënt is energiek. 	 contradiction 
Volgens de rapporten vond de zuster de patiënt op de bank extreem lethargisch. 	 De patiënt is in de war. 	 neutral 
Zij klaagde ook over een zere keel gedurende de laatste twee weken met een gevoel van pillen die in haar keel staken. 	 De patiënt klaagt over dysfagie. 	 entailment 
Zij klaagde ook over een zere keel gedurende de laatste twee weken met een gevoel van pillen die in haar keel staken. 	 De patiënt heeft een normale slik. 	 contradiction 
Zij klaagde ook over een zere keel gedurende de laatste twee weken met een gevoel van pillen die in haar keel staken. 	 De patiënt heeft achalasie. 	 neutral 
Per anesthesie assistent, was er bezorgdheid dat de patiënt een moeilijke intubatie zou zijn, gezien zijn lichaamsbouw. 	 De patiënt is zwaarlijvig. 	 entailment 
Per anesthesie assistent, was er bezorgdheid dat de patiënt een moeilijke intubatie zou zijn, gezien zijn lichaamsbouw. 	 De patiënt heeft geen zorgen voor intubatie. 	 contradiction 
Per anesthesie assistent, was er bezorgdheid dat de patiënt een moeilijke intubatie zou zijn, gezien zijn lichaamsbouw. 	 De patiënt heeft morbide obesitas. 	 neutral 
Vinger tegen neus was onstabiel, L>R. 	 De patiënt heeft tekenen van een neurologische ziekte 	 entailment 
Vinger tegen neus was onstabiel, L>R. 	 Patiënt heeft normale cerebellaire functie 	 contradiction 
Vinger tegen neus was onstabiel, L>R. 	 De patiënt heeft een abnormale hersen MRI 	 neutral 
Hij onderging een preoperatieve evaluatie en werd vrijgegeven voor de operatie. 	 Hij zal geopereerd worden 	 entailment 
Hij onderging een preoperatieve evaluatie en werd vrijgegeven voor de operatie. 	 Hij is niet stabiel genoeg voor een operatie 	 contradiction 
Hij onderging een preoperatieve evaluatie en werd vrijgegeven voor de operatie. 	 Hij zal een abdominale operatie ondergaan 	 neutral 
Hij werd toen overgeplaatst naar de [**Ziekenhuis Unit Naam 3**] voor verdere behandeling van ademnood en PNA. . 	 de patiënt heeft ademhalingsmoeilijkheden 	 entailment 
Hij werd toen overgeplaatst naar de [**Ziekenhuis Unit Naam 3**] voor verdere behandeling van ademnood en PNA. . 	 de patiënt een normale ademhalingsfunctie heeft 	 contradiction 
Hij werd toen overgeplaatst naar de [**Ziekenhuis Unit Naam 3**] voor verdere behandeling van ademnood en PNA. . 	 de patiënt heeft een in de gemeenschap opgelopen longontsteking 	 neutral 
Pt kreeg Vanc en Levaquin in ED. 	 De patiënt krijgt breedspectrum antibiotica. 	 entailment 
Pt kreeg Vanc en Levaquin in ED. 	 De patiënt heeft geen antibiotica gehad. 	 contradiction 
Pt kreeg Vanc en Levaquin in ED. 	 De patiënt is septisch. 	 neutral 
Sputum kweekte ESBL Klebs die alleen gevoelig waren voor meropenem; cefepime werd veranderd in [**Last Name (un) 2785**] [**3-26**]. . 	 De patiënt heeft een longinfectie. 	 entailment 
Sputum kweekte ESBL Klebs die alleen gevoelig waren voor meropenem; cefepime werd veranderd in [**Last Name (un) 2785**] [**3-26**]. . 	 De patiënt heeft geen infectie. 	 contradiction 
Sputum kweekte ESBL Klebs die alleen gevoelig waren voor meropenem; cefepime werd veranderd in [**Last Name (un) 2785**] [**3-26**]. . 	 De patiënt heeft een beademde longontsteking. 	 neutral 
Zij rapporteert een geschiedenis van soortgelijke hoofdpijnen in het verleden, gedurende vele jaren, waarvan sommige veel erger waren dan haar huidige hoofdpijnen. 	 Ze heeft al vele jaren hoofdpijn 	 entailment 
Zij rapporteert een geschiedenis van soortgelijke hoofdpijnen in het verleden, gedurende vele jaren, waarvan sommige veel erger waren dan haar huidige hoofdpijnen. 	 Haar huidige hoofdpijn werd beschreven als "ergste hoofdpijn van mijn leven" 	 contradiction 
Zij rapporteert een geschiedenis van soortgelijke hoofdpijnen in het verleden, gedurende vele jaren, waarvan sommige veel erger waren dan haar huidige hoofdpijnen. 	 Ze heeft gevoeligheid van licht in verband met haar hoofdpijnen 	 neutral 
Ze kwam naar het [**Ziekenhuis 70**] Ziekenhuis met vroeggeboorte op [**3021-10-7**]. 	 Haar zwangerschap is niet op volle termijn 	 entailment 
Ze kwam naar het [**Ziekenhuis 70**] Ziekenhuis met vroeggeboorte op [**3021-10-7**]. 	 Haar zwangerschap is uitgerekend. 	 contradiction 
Ze kwam naar het [**Ziekenhuis 70**] Ziekenhuis met vroeggeboorte op [**3021-10-7**]. 	 Ze heeft een geschiedenis van vroeggeboorte 	 neutral 
S1, S2 normaal, geen geruis. 	 De patiënt heeft geen abnormale hartgeluiden. 	 entailment 
S1, S2 normaal, geen geruis. 	 De patiënt heeft ernstige aorta regurgitatie. 	 contradiction 
S1, S2 normaal, geen geruis. 	 De patiënt heeft geen mitrale regurgitatie. 	 neutral 
Spoed EGD toonde veel bloed in de maag, graad IV varices zonder ulcera, en een wheal op één varix. 	 De patiënt heeft een maagbloeding. 	 entailment 
Spoed EGD toonde veel bloed in de maag, graad IV varices zonder ulcera, en een wheal op één varix. 	 De patiënt heeft normale LFTs 	 contradiction 
Spoed EGD toonde veel bloed in de maag, graad IV varices zonder ulcera, en een wheal op één varix. 	 De patiënt heeft een leverziekte 	 neutral 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: Baby Girl [**Kennieke patiënt achternaam **] is het 2,77 kg wegende product van een 37 en [**2-14**] weken durende tweeling, opgenomen op de Neonatale Intensive Care Unit voor evaluatie van de prenatale diagnose van mogelijke coarctatie en Trisomie-21. 	 de patiënt heeft het syndroom van Down 	 entailment 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: Baby Girl [**Kennieke patiënt achternaam **] is het 2,77 kg wegende product van een 37 en [**2-14**] weken durende tweeling, opgenomen op de Neonatale Intensive Care Unit voor evaluatie van de prenatale diagnose van mogelijke coarctatie en Trisomie-21. 	 de patiënt een normaal prenataal verloop had 	 contradiction 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: Baby Girl [**Kennieke patiënt achternaam **] is het 2,77 kg wegende product van een 37 en [**2-14**] weken durende tweeling, opgenomen op de Neonatale Intensive Care Unit voor evaluatie van de prenatale diagnose van mogelijke coarctatie en Trisomie-21. 	 de patiënt heeft een endocardiaal kussen defect 	 neutral 
Ook bleek 90% in-stent restenose van LAD stent. 	 de patiënt heeft stenose van een LAD stent 	 entailment 
Ook bleek 90% in-stent restenose van LAD stent. 	 de patiënt normale kransslagaders heeft 	 contradiction 
Ook bleek 90% in-stent restenose van LAD stent. 	 de patiënt pijn op de borst heeft 	 neutral 
PMD schakelde HCTZ van 25 mg [**Ziekenhuis1 **] naar 25 mg QD, en voegde enalapril 5 mg QD toe. 	 De patient gebruikt een diureticum en ACE inhibitor 	 entailment 
PMD schakelde HCTZ van 25 mg [**Ziekenhuis1 **] naar 25 mg QD, en voegde enalapril 5 mg QD toe. 	 De patiënt gebruikt geen medicijnen 	 contradiction 
PMD schakelde HCTZ van 25 mg [**Ziekenhuis1 **] naar 25 mg QD, en voegde enalapril 5 mg QD toe. 	 De patiënt heeft hypertensie en een nierziekte 	 neutral 
Daar was hij afebrile HR 124, BP 118/88. 	 Hij had een tachycardie 	 entailment 
Daar was hij afebrile HR 124, BP 118/88. 	 Hij had koorts. 	 contradiction 
Daar was hij afebrile HR 124, BP 118/88. 	 Zijn zuurstofsaturatie was 100% met kamerlucht 	 neutral 
Cerebraal aneurysma dat in [**3112**] werd geclipt, met als gevolg een onvermogen om zich korte termijn geheugen te herinneren. 	 De patiënt heeft moeite zich dingen te herinneren 	 entailment 
Cerebraal aneurysma dat in [**3112**] werd geclipt, met als gevolg een onvermogen om zich korte termijn geheugen te herinneren. 	 De patiënt heeft geen problemen met het geheugen 	 contradiction 
Cerebraal aneurysma dat in [**3112**] werd geclipt, met als gevolg een onvermogen om zich korte termijn geheugen te herinneren. 	 De patiënt heeft een geschiedenis van hypertensie en roken 	 neutral 
Gedeeltelijk links [**3130**]. - s/p hysterectomie [**3134**] - s/p neus embolisatie voor refractaire epistaxis [**6-28**] - maagbloeding secundair aan hooggradig colon adenoom s/p biopsie (maar geen resectie) [**10/3170**] 	 De patiënt heeft geen baarmoeder 	 entailment 
Gedeeltelijk links [**3130**]. - s/p hysterectomie [**3134**] - s/p neus embolisatie voor refractaire epistaxis [**6-28**] - maagbloeding secundair aan hooggradig colon adenoom s/p biopsie (maar geen resectie) [**10/3170**] 	 Patiënt heeft geen eerdere interventies gehad 	 contradiction 
Gedeeltelijk links [**3130**]. - s/p hysterectomie [**3134**] - s/p neus embolisatie voor refractaire epistaxis [**6-28**] - maagbloeding secundair aan hooggradig colon adenoom s/p biopsie (maar geen resectie) [**10/3170**] 	 Patiënt heeft darmkanker 	 neutral 
